level,vineyard_id,row_id,blocks,rows,segments,length_m,canopy_m2,canopy_ha,interrow_m2,interrow_ha,row_structure
row,V01,V01-R04,,,1,21.15,,,,,regular
row,V01,V01-R05,,,1,12.65,,,,,regular
row,V01,V01-R06,,,1,38.3,,,,,disrupted
row,V01,V01-R07,,,1,16.67,,,,,disrupted
row,V01,V01-R08,,,1,41.55,,,,,disrupted
row,V01,V01-R09,,,1,17.55,,,,,regular
row,V01,V01-R10,,,1,4.2,,,,,regular
row,V01,V01-R11,,,1,26.58,,,,,regular
row,V01,V01-R12,,,1,4.6,,,,,regular
row,V01,V01-R13,,,1,12.81,,,,,regular
row,V01,V01-R14,,,1,18.28,,,,,regular
row,V01,V01-R15,,,1,25.9,,,,,disrupted
row,V01,V01-R16,,,1,24.13,,,,,disrupted
row,V01,V01-R17,,,1,26.47,,,,,disrupted
row,V01,V01-R18,,,1,28.64,,,,,regular
row,V01,V01-R19,,,1,30.8,,,,,disrupted
row,V01,V01-R20,,,1,2.6,,,,,regular
row,V01,V01-R21,,,1,34.26,,,,,regular
row,V01,V01-R22,,,1,30.97,,,,,disrupted
row,V01,V01-R23,,,1,38.91,,,,,regular
row,V01,V01-R24,,,1,42.18,,,,,regular
row,V01,V01-R25,,,1,45.75,,,,,regular
row,V01,V01-R26,,,1,47.0,,,,,regular
row,V01,V01-R27,,,1,38.15,,,,,disrupted
row,V01,V01-R28,,,1,4.75,,,,,regular
row,V01,V01-R29,,,1,32.45,,,,,disrupted
row,V02,V02-R001,,,1,5.95,,,,,regular
row,V02,V02-R002,,,1,13.9,,,,,regular
row,V02,V02-R003,,,1,16.8,,,,,regular
row,V02,V02-R004,,,1,19.4,,,,,regular
row,V02,V02-R005,,,1,22.79,,,,,regular
row,V02,V02-R006,,,1,25.5,,,,,regular
row,V02,V02-R007,,,1,25.0,,,,,regular
row,V02,V02-R008,,,1,31.22,,,,,regular
row,V02,V02-R009,,,1,36.53,,,,,disrupted
row,V02,V02-R010,,,1,35.07,,,,,disrupted
row,V02,V02-R011,,,1,18.25,,,,,regular
row,V02,V02-R012,,,2,38.23,,,,,regular
row,V02,V02-R013,,,2,43.02,,,,,regular
row,V02,V02-R014,,,1,55.15,,,,,disrupted
row,V02,V02-R015,,,2,49.05,,,,,regular
row,V02,V02-R016,,,1,55.25,,,,,regular
row,V02,V02-R017,,,2,56.28,,,,,regular
row,V02,V02-R018,,,1,51.24,,,,,regular
row,V02,V02-R019,,,2,61.5,,,,,regular
row,V02,V02-R020,,,2,66.6,,,,,disrupted
row,V02,V02-R021,,,2,69.54,,,,,disrupted
row,V02,V02-R022,,,3,124.84,,,,,disrupted|regular
row,V02,V02-R023,,,4,136.06,,,,,disrupted|regular
row,V02,V02-R024,,,4,141.71,,,,,regular
row,V02,V02-R025,,,4,147.62,,,,,regular
row,V02,V02-R026,,,4,153.17,,,,,regular
row,V02,V02-R027,,,1,51.27,,,,,disrupted
row,V02,V02-R028,,,4,164.24,,,,,regular
row,V02,V02-R029,,,1,51.28,,,,,disrupted
row,V02,V02-R030,,,4,167.72,,,,,disrupted|regular
row,V02,V02-R031,,,1,42.7,,,,,disrupted
row,V02,V02-R032,,,4,180.49,,,,,regular
row,V02,V02-R033,,,4,180.7,,,,,regular
row,V02,V02-R034,,,4,168.62,,,,,regular
row,V02,V02-R035,,,4,154.42,,,,,regular
row,V02,V02-R036,,,4,141.07,,,,,disrupted|regular
row,V02,V02-R037,,,4,134.38,,,,,disrupted|regular
row,V02,V02-R038,,,4,127.61,,,,,disrupted|regular
row,V02,V02-R039,,,1,4.1,,,,,regular
row,V02,V02-R040,,,1,11.02,,,,,regular
row,V02,V02-R041,,,1,20.8,,,,,disrupted
row,V02,V02-R042,,,4,120.05,,,,,disrupted|regular
row,V02,V02-R043,,,1,27.2,,,,,disrupted
row,V02,V02-R044,,,1,32.85,,,,,disrupted
row,V02,V02-R045,,,1,38.17,,,,,regular
row,V02,V02-R046,,,1,5.59,,,,,regular
row,V02,V02-R047,,,1,44.0,,,,,disrupted
row,V02,V02-R048,,,1,51.52,,,,,disrupted
row,V02,V02-R049,,,1,56.49,,,,,disrupted
row,V02,V02-R050,,,4,112.51,,,,,disrupted|regular
row,V02,V02-R051,,,1,56.48,,,,,disrupted
row,V02,V02-R052,,,3,110.79,,,,,regular
row,V02,V02-R053,,,1,56.43,,,,,disrupted
row,V02,V02-R054,,,4,122.39,,,,,regular
row,V02,V02-R055,,,4,129.81,,,,,regular
row,V02,V02-R056,,,1,56.47,,,,,disrupted
row,V02,V02-R057,,,3,135.4,,,,,regular
row,V02,V02-R058,,,1,3.25,,,,,regular
row,V02,V02-R059,,,1,56.45,,,,,disrupted
row,V02,V02-R060,,,4,143.9,,,,,regular
row,V02,V02-R061,,,1,56.51,,,,,disrupted
row,V02,V02-R062,,,4,148.23,,,,,regular
row,V02,V02-R063,,,1,56.45,,,,,disrupted
row,V02,V02-R064,,,4,145.59,,,,,regular
row,V02,V02-R065,,,1,56.47,,,,,disrupted
row,V02,V02-R066,,,4,140.67,,,,,disrupted|regular
row,V02,V02-R067,,,4,143.79,,,,,disrupted|regular
row,V02,V02-R068,,,1,56.48,,,,,disrupted
row,V02,V02-R069,,,4,145.76,,,,,disrupted|regular
row,V02,V02-R070,,,1,54.64,,,,,disrupted
row,V02,V02-R071,,,1,45.42,,,,,disrupted
row,V02,V02-R072,,,1,38.23,,,,,disrupted
row,V02,V02-R073,,,1,30.19,,,,,disrupted
row,V02,V02-R074,,,1,23.79,,,,,regular
row,V02,V02-R075,,,1,18.23,,,,,disrupted
row,V02,V02-R076,,,4,148.82,,,,,disrupted|regular
row,V02,V02-R077,,,1,11.93,,,,,regular
row,V02,V02-R078,,,4,151.1,,,,,regular
row,V02,V02-R079,,,4,157.48,,,,,disrupted|regular
row,V02,V02-R080,,,4,159.04,,,,,disrupted|regular
row,V02,V02-R081,,,4,169.01,,,,,regular
row,V02,V02-R082,,,4,173.29,,,,,regular
row,V02,V02-R083,,,4,179.07,,,,,disrupted|regular
row,V02,V02-R084,,,4,184.88,,,,,disrupted|regular
row,V02,V02-R085,,,5,190.12,,,,,disrupted|regular
row,V02,V02-R086,,,6,188.9,,,,,disrupted|regular
row,V02,V02-R087,,,5,171.97,,,,,disrupted|regular
row,V02,V02-R088,,,5,184.93,,,,,disrupted|regular
row,V02,V02-R089,,,6,185.49,,,,,regular
row,V02,V02-R090,,,6,183.24,,,,,regular
row,V02,V02-R091,,,6,181.34,,,,,disrupted|regular
row,V02,V02-R092,,,6,180.77,,,,,disrupted|regular
row,V02,V02-R093,,,5,178.64,,,,,regular
row,V02,V02-R094,,,5,178.22,,,,,disrupted|regular
row,V02,V02-R095,,,5,178.24,,,,,disrupted|regular
row,V02,V02-R096,,,5,197.53,,,,,disrupted|regular
row,V02,V02-R097,,,1,1.8,,,,,regular
row,V02,V02-R098,,,4,166.2,,,,,regular
row,V02,V02-R099,,,1,8.56,,,,,regular
row,V02,V02-R100,,,5,174.84,,,,,disrupted|regular
row,V02,V02-R101,,,5,175.16,,,,,regular
row,V02,V02-R102,,,5,167.45,,,,,regular
row,V02,V02-R103,,,4,164.79,,,,,regular
row,V02,V02-R104,,,4,154.23,,,,,disrupted|regular
row,V02,V02-R105,,,3,153.89,,,,,disrupted|regular
row,V02,V02-R106,,,1,2.12,,,,,regular
row,V02,V02-R107,,,3,153.28,,,,,regular
row,V02,V02-R108,,,1,8.87,,,,,regular
row,V02,V02-R109,,,3,143.78,,,,,regular
row,V02,V02-R110,,,1,11.45,,,,,regular
row,V02,V02-R111,,,3,134.14,,,,,regular
row,V02,V02-R112,,,1,21.73,,,,,disrupted
row,V03,V03-R01,,,1,6.1,,,,,regular
row,V03,V03-R02,,,1,15.58,,,,,regular
row,V03,V03-R03,,,1,25.65,,,,,regular
row,V03,V03-R04,,,1,23.33,,,,,disrupted
row,V03,V03-R05,,,1,15.42,,,,,regular
row,V03,V03-R06,,,1,10.4,,,,,regular
row,V03,V03-R07,,,1,33.45,,,,,disrupted
row,V03,V03-R08,,,1,5.34,,,,,regular
row,V03,V03-R09,,,1,36.9,,,,,disrupted
row,V03,V03-R10,,,1,5.83,,,,,regular
row,V03,V03-R11,,,1,34.0,,,,,regular
row,V03,V03-R12,,,1,30.95,,,,,disrupted
row,V03,V03-R13,,,1,17.89,,,,,regular
row,V03,V03-R14,,,1,24.51,,,,,regular
row,V03,V03-R15,,,1,15.73,,,,,regular
row,V03,V03-R16,,,1,4.15,,,,,regular
row,V04,V04-R01,,,1,55.3,,,,,disrupted
row,V04,V04-R02,,,2,78.74,,,,,disrupted|regular
row,V04,V04-R03,,,2,54.09,,,,,disrupted|regular
row,V04,V04-R04,,,1,19.36,,,,,disrupted
row,V04,V04-R05,,,1,34.65,,,,,disrupted
row,V04,V04-R06,,,1,55.37,,,,,disrupted
row,V04,V04-R07,,,1,34.37,,,,,disrupted
row,V04,V04-R08,,,1,55.3,,,,,disrupted
row,V04,V04-R09,,,1,45.14,,,,,disrupted
row,V04,V04-R10,,,1,40.94,,,,,regular
row,V04,V04-R11,,,1,53.63,,,,,disrupted
row,V04,V04-R12,,,1,47.37,,,,,regular
row,V04,V04-R13,,,1,46.65,,,,,disrupted
row,V04,V04-R14,,,1,53.68,,,,,regular
row,V04,V04-R15,,,1,40.48,,,,,disrupted
row,V04,V04-R16,,,1,60.39,,,,,regular
row,V04,V04-R17,,,1,34.57,,,,,disrupted
row,V04,V04-R18,,,2,67.22,,,,,regular
row,V04,V04-R19,,,1,28.4,,,,,disrupted
row,V04,V04-R20,,,2,73.23,,,,,regular
row,V04,V04-R21,,,1,19.59,,,,,disrupted
row,V04,V04-R22,,,2,79.52,,,,,regular
row,V04,V04-R23,,,1,5.63,,,,,regular
row,V04,V04-R24,,,2,86.01,,,,,regular
row,V04,V04-R25,,,1,7.28,,,,,regular
row,V04,V04-R26,,,2,92.65,,,,,disrupted|regular
row,V04,V04-R27,,,1,1.09,,,,,regular
row,V04,V04-R28,,,1,20.43,,,,,disrupted
row,V04,V04-R29,,,3,99.66,,,,,regular
row,V04,V04-R30,,,1,20.78,,,,,disrupted
row,V04,V04-R31,,,3,105.73,,,,,disrupted|regular
row,V04,V04-R32,,,3,111.84,,,,,disrupted|regular
row,V04,V04-R33,,,1,31.67,,,,,disrupted
row,V04,V04-R34,,,3,118.58,,,,,disrupted|regular
row,V04,V04-R35,,,3,121.76,,,,,disrupted|regular
row,V04,V04-R36,,,1,13.85,,,,,disrupted
row,V04,V04-R37,,,3,118.08,,,,,disrupted|regular
row,V04,V04-R38,,,1,12.53,,,,,disrupted
row,V04,V04-R39,,,3,121.88,,,,,disrupted|regular
row,V04,V04-R40,,,3,122.01,,,,,disrupted|regular
row,V04,V04-R41,,,1,9.45,,,,,regular
row,V04,V04-R42,,,3,122.21,,,,,disrupted|regular
row,V04,V04-R43,,,2,119.77,,,,,disrupted
row,V04,V04-R44,,,3,122.92,,,,,disrupted|regular
row,V04,V04-R45,,,2,61.36,,,,,disrupted|regular
row,V04,V04-R46,,,1,61.93,,,,,disrupted
row,V04,V04-R47,,,2,61.42,,,,,disrupted|regular
row,V04,V04-R48,,,1,61.85,,,,,disrupted
row,V04,V04-R49,,,2,61.44,,,,,disrupted|regular
row,V04,V04-R50,,,1,62.0,,,,,disrupted
row,V04,V04-R51,,,3,117.85,,,,,disrupted|regular
row,V04,V04-R52,,,3,111.53,,,,,regular
row,V04,V04-R53,,,3,103.91,,,,,regular
row,V04,V04-R54,,,1,3.52,,,,,regular
row,V04,V04-R55,,,2,93.0,,,,,regular
row,V04,V04-R56,,,1,2.84,,,,,regular
row,V04,V04-R57,,,3,122.46,,,,,regular
row,V04,V04-R58,,,3,122.28,,,,,regular
row,V04,V04-R59,,,3,122.17,,,,,regular
row,V04,V04-R60,,,3,122.51,,,,,regular
row,V04,V04-R61,,,3,122.59,,,,,regular
row,V04,V04-R62,,,2,120.14,,,,,regular
row,V04,V04-R63,,,1,2.59,,,,,regular
row,V04,V04-R64,,,2,61.35,,,,,regular
row,V04,V04-R65,,,3,109.18,,,,,regular
row,V04,V04-R66,,,3,107.32,,,,,disrupted|regular
row,V04,V04-R67,,,3,94.09,,,,,regular
row,V04,V04-R68,,,3,87.04,,,,,regular
row,V04,V04-R69,,,3,84.07,,,,,regular
row,V04,V04-R70,,,2,54.03,,,,,disrupted
row,V04,V04-R71,,,2,34.62,,,,,regular
row,V04,V04-R72,,,1,2.08,,,,,regular
row,V05,V05-R01,,,1,15.7,,,,,disrupted
row,V05,V05-R02,,,1,8.88,,,,,regular
row,V05,V05-R03,,,1,17.39,,,,,regular
row,V05,V05-R04,,,1,46.72,,,,,regular
row,V05,V05-R05,,,1,51.82,,,,,disrupted
row,V05,V05-R06,,,1,51.83,,,,,regular
row,V05,V05-R07,,,1,51.82,,,,,regular
row,V05,V05-R08,,,1,51.8,,,,,regular
row,V05,V05-R09,,,1,51.8,,,,,regular
row,V05,V05-R10,,,1,51.25,,,,,disrupted
row,V05,V05-R11,,,1,51.25,,,,,disrupted
row,V05,V05-R12,,,1,46.6,,,,,disrupted
row,V05,V05-R13,,,1,51.25,,,,,disrupted
row,V06,V06-R01,,,1,28.73,,,,,disrupted
row,V06,V06-R02,,,1,51.8,,,,,disrupted
row,V06,V06-R03,,,1,38.9,,,,,regular
row,V06,V06-R04,,,1,51.3,,,,,regular
row,V06,V06-R05,,,1,51.3,,,,,regular
row,V07,V07-R01,,,1,51.3,,,,,regular
row,V07,V07-R02,,,1,51.3,,,,,regular
row,V07,V07-R03,,,1,51.29,,,,,regular
row,V07,V07-R04,,,1,51.3,,,,,regular
row,V07,V07-R05,,,1,51.29,,,,,regular
row,V08,V08-R001,,,1,35.33,,,,,disrupted
row,V08,V08-R002,,,1,41.7,,,,,disrupted
row,V08,V08-R003,,,1,49.18,,,,,disrupted
row,V08,V08-R004,,,1,56.45,,,,,disrupted
row,V08,V08-R005,,,1,56.49,,,,,regular
row,V08,V08-R006,,,1,56.45,,,,,disrupted
row,V08,V08-R007,,,1,56.47,,,,,disrupted
row,V08,V08-R008,,,1,56.47,,,,,disrupted
row,V08,V08-R009,,,1,56.49,,,,,disrupted
row,V08,V08-R010,,,1,56.42,,,,,disrupted
row,V08,V08-R011,,,1,52.43,,,,,disrupted
row,V08,V08-R012,,,1,34.27,,,,,regular
row,V08,V08-R013,,,1,46.02,,,,,disrupted
row,V08,V08-R014,,,1,40.03,,,,,disrupted
row,V08,V08-R015,,,1,33.5,,,,,regular
row,V08,V08-R016,,,1,21.56,,,,,regular
row,V08,V08-R017,,,1,16.15,,,,,disrupted
row,V08,V08-R018,,,1,8.08,,,,,disrupted
row,V08,V08-R019,,,1,7.53,,,,,regular
row,V08,V08-R020,,,1,21.98,,,,,regular
row,V08,V08-R021,,,1,28.37,,,,,regular
row,V08,V08-R022,,,1,58.4,,,,,regular
row,V08,V08-R023,,,1,60.37,,,,,regular
row,V08,V08-R024,,,1,34.46,,,,,regular
row,V08,V08-R025,,,1,60.35,,,,,regular
row,V08,V08-R026,,,1,51.05,,,,,regular
row,V08,V08-R027,,,1,42.09,,,,,disrupted
row,V08,V08-R028,,,1,60.36,,,,,disrupted
row,V08,V08-R029,,,1,43.3,,,,,regular
row,V08,V08-R030,,,1,49.68,,,,,disrupted
row,V08,V08-R031,,,1,60.38,,,,,disrupted
row,V08,V08-R032,,,1,37.13,,,,,regular
row,V08,V08-R033,,,1,55.84,,,,,regular
row,V08,V08-R034,,,1,60.36,,,,,disrupted
row,V08,V08-R035,,,1,29.73,,,,,regular
row,V08,V08-R036,,,1,23.48,,,,,regular
row,V08,V08-R037,,,1,17.73,,,,,regular
row,V08,V08-R038,,,1,42.89,,,,,regular
row,V08,V08-R039,,,1,55.0,,,,,disrupted
row,V08,V08-R040,,,1,36.9,,,,,regular
row,V08,V08-R041,,,1,26.1,,,,,regular
row,V08,V08-R042,,,1,44.61,,,,,disrupted
row,V08,V08-R043,,,1,54.95,,,,,regular
row,V08,V08-R044,,,1,1.57,,,,,regular
row,V08,V08-R045,,,1,54.98,,,,,regular
row,V08,V08-R046,,,1,7.73,,,,,regular
row,V08,V08-R047,,,1,54.99,,,,,regular
row,V08,V08-R048,,,1,13.65,,,,,regular
row,V08,V08-R049,,,1,19.15,,,,,regular
row,V08,V08-R050,,,1,54.99,,,,,disrupted
row,V08,V08-R051,,,1,24.42,,,,,regular
row,V08,V08-R052,,,1,54.95,,,,,regular
row,V08,V08-R053,,,1,29.39,,,,,regular
row,V08,V08-R054,,,1,54.95,,,,,regular
row,V08,V08-R055,,,1,35.29,,,,,regular
row,V08,V08-R056,,,1,54.97,,,,,regular
row,V08,V08-R057,,,1,40.81,,,,,regular
row,V08,V08-R058,,,1,54.95,,,,,regular
row,V08,V08-R059,,,1,46.1,,,,,regular
row,V08,V08-R060,,,1,54.97,,,,,regular
row,V08,V08-R061,,,1,51.35,,,,,regular
row,V08,V08-R062,,,1,54.5,,,,,regular
row,V08,V08-R063,,,1,13.5,,,,,regular
row,V08,V08-R064,,,1,18.85,,,,,disrupted
row,V08,V08-R065,,,1,25.7,,,,,regular
row,V08,V08-R066,,,1,56.87,,,,,regular
row,V08,V08-R067,,,1,32.57,,,,,regular
row,V08,V08-R068,,,1,36.25,,,,,regular
row,V08,V08-R069,,,1,43.08,,,,,regular
row,V08,V08-R070,,,1,49.82,,,,,disrupted
row,V08,V08-R071,,,1,6.41,,,,,regular
row,V08,V08-R072,,,2,104.38,,,,,disrupted
row,V08,V08-R073,,,1,12.5,,,,,regular
row,V08,V08-R074,,,2,98.98,,,,,regular
row,V08,V08-R075,,,1,18.32,,,,,regular
row,V08,V08-R076,,,2,84.93,,,,,regular
row,V08,V08-R077,,,1,23.35,,,,,disrupted
row,V08,V08-R078,,,2,87.95,,,,,regular
row,V08,V08-R079,,,2,81.69,,,,,regular
row,V08,V08-R080,,,3,108.64,,,,,regular
row,V08,V08-R081,,,4,146.91,,,,,disrupted|regular
row,V08,V08-R082,,,1,48.79,,,,,regular
row,V08,V08-R083,,,4,157.85,,,,,disrupted|regular
row,V08,V08-R084,,,1,55.27,,,,,disrupted
row,V08,V08-R085,,,3,116.66,,,,,regular
row,V08,V08-R086,,,1,53.79,,,,,regular
row,V08,V08-R087,,,2,112.85,,,,,regular
row,V08,V08-R088,,,3,116.04,,,,,regular
row,V08,V08-R089,,,1,12.7,,,,,regular
row,V08,V08-R090,,,1,17.22,,,,,regular
row,V08,V08-R091,,,2,58.44,,,,,regular
row,V08,V08-R092,,,2,71.35,,,,,regular
row,V08,V08-R093,,,2,63.74,,,,,regular
row,V08,V08-R094,,,1,14.49,,,,,regular
row,V08,V08-R095,,,2,96.16,,,,,regular
row,V08,V08-R096,,,2,32.0,,,,,regular
row,V08,V08-R097,,,1,47.57,,,,,regular
row,V08,V08-R098,,,1,2.8,,,,,regular
row,V08,V08-R099,,,1,57.47,,,,,regular
row,V08,V08-R100,,,2,102.19,,,,,disrupted|regular
row,V08,V08-R101,,,2,96.64,,,,,disrupted|regular
row,V08,V08-R102,,,2,91.32,,,,,disrupted|regular
row,V08,V08-R103,,,2,58.16,,,,,regular
row,V08,V08-R104,,,3,107.43,,,,,disrupted|regular
row,V08,V08-R105,,,3,105.25,,,,,regular
row,V08,V08-R106,,,2,57.64,,,,,disrupted|regular
row,V08,V08-R107,,,2,37.54,,,,,regular
row,V08,V08-R108,,,1,51.65,,,,,regular
row,V08,V08-R109,,,1,25.63,,,,,disrupted
row,V08,V08-R110,,,1,57.91,,,,,regular
row,V08,V08-R111,,,1,58.17,,,,,disrupted
row,V08,V08-R112,,,2,70.89,,,,,disrupted|regular
row,V08,V08-R113,,,1,58.3,,,,,disrupted
row,V08,V08-R114,,,1,53.9,,,,,disrupted
row,V08,V08-R115,,,1,58.14,,,,,disrupted
row,V08,V08-R116,,,1,58.16,,,,,disrupted
row,V08,V08-R117,,,1,58.16,,,,,disrupted
row,V08,V08-R118,,,1,58.12,,,,,disrupted
row,V08,V08-R119,,,1,33.47,,,,,disrupted
row,V08,V08-R120,,,1,26.5,,,,,regular
row,V08,V08-R121,,,1,11.93,,,,,regular
row,V08,V08-R122,,,1,3.6,,,,,regular
row,V09,V09-R01,,,1,27.38,,,,,regular
row,V09,V09-R02,,,1,1.41,,,,,regular
row,V09,V09-R03,,,1,8.37,,,,,regular
row,V10,V10-R01,,,1,57.88,,,,,regular
row,V10,V10-R02,,,1,57.88,,,,,regular
row,V10,V10-R03,,,1,57.87,,,,,regular
row,V10,V10-R04,,,1,57.87,,,,,regular
row,V10,V10-R05,,,1,57.87,,,,,regular
row,V10,V10-R06,,,1,57.85,,,,,regular
row,V10,V10-R07,,,1,57.85,,,,,regular
row,V10,V10-R08,,,1,57.84,,,,,regular
row,V10,V10-R09,,,1,57.85,,,,,regular
row,V10,V10-R10,,,1,57.46,,,,,disrupted
row,V10,V10-R11,,,1,52.2,,,,,disrupted
row,V10,V10-R12,,,1,7.17,,,,,regular
row,V10,V10-R13,,,1,22.66,,,,,disrupted
row,V10,V10-R14,,,1,13.01,,,,,regular
row,V10,V10-R15,,,1,33.08,,,,,disrupted
row,V10,V10-R16,,,1,35.21,,,,,disrupted
row,V11,V11-R001,,,1,1.2,,,,,regular
row,V11,V11-R002,,,1,21.37,,,,,regular
row,V11,V11-R003,,,1,10.02,,,,,regular
row,V11,V11-R004,,,1,51.33,,,,,disrupted
row,V11,V11-R005,,,1,39.39,,,,,disrupted
row,V11,V11-R006,,,2,85.75,,,,,disrupted
row,V11,V11-R007,,,1,43.57,,,,,disrupted
row,V11,V11-R008,,,1,51.32,,,,,disrupted
row,V11,V11-R009,,,1,51.35,,,,,disrupted
row,V11,V11-R010,,,2,96.88,,,,,disrupted
row,V11,V11-R011,,,2,97.32,,,,,disrupted
row,V11,V11-R012,,,2,97.04,,,,,disrupted
row,V11,V11-R013,,,1,51.84,,,,,disrupted
row,V11,V11-R014,,,1,51.83,,,,,disrupted
row,V11,V11-R015,,,1,51.32,,,,,regular
row,V11,V11-R016,,,1,51.35,,,,,regular
row,V11,V11-R017,,,2,103.17,,,,,disrupted|regular
row,V11,V11-R018,,,1,51.35,,,,,regular
row,V11,V11-R019,,,2,103.19,,,,,disrupted
row,V11,V11-R020,,,1,51.84,,,,,disrupted
row,V11,V11-R021,,,1,40.98,,,,,disrupted
row,V11,V11-R022,,,1,51.35,,,,,disrupted
row,V11,V11-R023,,,1,51.35,,,,,regular
row,V11,V11-R024,,,1,51.35,,,,,regular
row,V11,V11-R025,,,2,82.95,,,,,regular
